Year,Brown Wet habitat,Brown Mesic habitat,Coll Wet habitat,Coll Mesic habitat,Both Wet habitat,Both Mesic habitat
1991,0,NA,NA,NA,0,NA
1992,0,NA,NA,NA,0,NA
1993,"7,21",NA,NA,NA,"7,21",NA
1994,"1,26",NA,"0,07",NA,"1,26",NA
1995,"0,07","0,07","0,07","0,07","0,07","0,07"
1996,"3,7","3,42","0,9","0,26","4,6","3,68"
1997,"3,25","0,07","0,07","0,07","3,25","0,07"
1998,"3,2","0,57","0,25","0,92","3,45","1,49"
1999,"0,23","0,07","0,07","0,07","0,23","0,07"
2000,"14,27","3,28","0,59","0,56","14,86","3,84"
2001,"0,89","0,24","0,54","0,25","1,43","0,49"
2002,"0,07","0,07","0,16","0,07","0,16","0,07"
2003,"0,07","0,07","0,07","0,07","0,07","0,07"
2004,"3,88","2,13",0,"0,5","3,88","2,63"
2005,"0,16","0,11","0,24","0,13","0,4","0,24"
2006,"0,16","0,15","0,19","0,52","0,35","0,67"
2007,"0,22","0,14","0,17",0,"0,39","0,14"
2008,"4,04","1,17","0,21","0,21","4,25","1,38"
2009,"0,24","0,04",0,0,"0,24","0,04"
2010,"2,65","3,4","0,08","1,55","2,73","4,95"
2011,"4,62","5,46",0,0,"4,62","5,46"
2012,"0,14",0,0,"0,04","0,14","0,04"
2013,0,0,0,"0,04",0,"0,04"
2014,"6,95","5,06","0,32","0,62","7,27","5,68"
2015,"3,72","2,97","0,18","0,43","3,9","3,4"
2016,"0,55","2,46","0,85","1,2","1,4","3,66"
2017,"0,13","0,21","0,04",0,"0,16","0,21"
2018,"0,03",0,0,0,"0,03",0
2019,"1,69","1,15","0,148","0,154","1,838","1,986"
